Lat,Lng
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08363, 08.80911, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80917, 
53.08364, 08.80922, 
53.08364, 08.80923, 
53.08364, 08.80923, 
53.08364, 08.80923, 
53.08364, 08.80923, 
53.08364, 08.80923, 
53.08364, 08.80923, 
53.08364, 08.80923, 
53.08364, 08.80923, 
53.08364, 08.80923, 
53.08364, 08.80923, 
53.08369, 08.80932, 
53.08369, 08.80932, 
53.08369, 08.80932, 
53.08369, 08.80932, 
53.08369, 08.80932, 
53.08371, 08.80936, 
53.08372, 08.80941, 
53.08374, 08.80945, 
53.08375, 08.80949, 
53.08376, 08.80951, 
53.08377, 08.80952, 
53.08379, 08.80953, 
53.08380, 08.80954, 
53.08382, 08.80955, 
53.08383, 08.80956, 
53.08384, 08.80956, 
53.08384, 08.80957, 
53.08384, 08.80957, 
53.08384, 08.80957, 
53.08384, 08.80957, 
53.08384, 08.80957, 
53.08384, 08.80957, 
53.08384, 08.80957, 
53.08384, 08.80957, 
53.08384, 08.80957, 
53.08384, 08.80957, 
53.08384, 08.80957, 
53.08384, 08.80957, 
53.08382, 08.80961, 
53.08382, 08.80961, 
53.08381, 08.80961, 
53.08380, 08.80960, 
53.08379, 08.80958, 
53.08378, 08.80958, 
53.08378, 08.80958, 
53.08378, 08.80958, 
53.08378, 08.80958, 
53.08378, 08.80958, 
53.08378, 08.80958, 
53.08378, 08.80958, 
53.08378, 08.80958, 
53.08378, 08.80958, 
53.08378, 08.80958, 
53.08378, 08.80958, 
53.08378, 08.80958, 
53.08378, 08.80958, 
53.08378, 08.80958, 
53.08378, 08.80958, 
53.08378, 08.80958, 
53.08378, 08.80958, 
53.08378, 08.80958, 
53.08378, 08.80958, 
53.08378, 08.80958, 
53.08378, 08.80958, 
53.08378, 08.80958, 
53.08378, 08.80958, 
53.08378, 08.80958, 
53.08378, 08.80958, 
53.08378, 08.80958, 
53.08378, 08.80958, 
53.08378, 08.80958, 
53.08378, 08.80958, 
53.08378, 08.80958, 
53.08378, 08.80958, 
53.08378, 08.80958, 
53.08378, 08.80958, 
53.08378, 08.80958, 
53.08378, 08.80958, 
53.08378, 08.80958, 
53.08378, 08.80958, 
53.08378, 08.80958, 
53.08378, 08.80958, 
53.08378, 08.80958, 
53.08378, 08.80958, 
53.08376, 08.80953, 
53.08376, 08.80953, 
53.08376, 08.80953, 
53.08375, 08.80951, 
53.08375, 08.80951, 
53.08375, 08.80951, 
53.08375, 08.80951, 
53.08375, 08.80951, 
53.08375, 08.80951, 
53.08375, 08.80951, 
53.08375, 08.80951, 
53.08375, 08.80951, 
53.08372, 08.80948, 
53.08372, 08.80948, 
53.08371, 08.80948, 
53.08370, 08.80948, 
53.08369, 08.80948, 
53.08368, 08.80950, 
53.08366, 08.80952, 
53.08365, 08.80954, 
53.08365, 08.80955, 
53.08364, 08.80956, 
53.08363, 08.80958, 
53.08362, 08.80959, 
53.08361, 08.80960, 
53.08360, 08.80961, 
53.08360, 08.80961, 
53.08359, 08.80961, 
53.08359, 08.80961, 
53.08359, 08.80961, 
53.08359, 08.80961, 
53.08359, 08.80960, 
53.08359, 08.80960, 
53.08359, 08.80959, 
53.08359, 08.80959, 
53.08359, 08.80958, 
53.08359, 08.80957, 
53.08359, 08.80957, 
53.08359, 08.80957, 
53.08359, 08.80957, 
53.08359, 08.80957, 
53.08359, 08.80957, 
53.08358, 08.80958, 
53.08357, 08.80960, 
53.08354, 08.80963, 
53.08353, 08.80965, 
53.08351, 08.80966, 
53.08350, 08.80968, 
53.08349, 08.80970, 
53.08348, 08.80972, 
53.08347, 08.80973, 
53.08347, 08.80975, 
53.08346, 08.80977, 
53.08345, 08.80978, 
53.08344, 08.80980, 
53.08344, 08.80982, 
53.08343, 08.80984, 
53.08342, 08.80985, 
53.08341, 08.80987, 
53.08340, 08.80988, 
53.08340, 08.80990, 
53.08339, 08.80991, 
53.08338, 08.80993, 
53.08337, 08.80994, 
53.08337, 08.80996, 
53.08336, 08.80997, 
53.08335, 08.80999, 
53.08334, 08.81001, 
53.08333, 08.81003, 
53.08332, 08.81005, 
53.08331, 08.81007, 
53.08331, 08.81008, 
53.08330, 08.81010, 
53.08329, 08.81011, 
53.08329, 08.81012, 
53.08328, 08.81013, 
53.08328, 08.81014, 
53.08328, 08.81015, 
53.08327, 08.81016, 
53.08326, 08.81018, 
53.08326, 08.81019, 
53.08325, 08.81020, 
53.08324, 08.81021, 
53.08323, 08.81021, 
53.08323, 08.81022, 
53.08322, 08.81023, 
53.08321, 08.81024, 
53.08320, 08.81025, 
53.08320, 08.81026, 
53.08319, 08.81026, 
53.08318, 08.81028, 
53.08317, 08.81028, 
53.08316, 08.81029, 
53.08315, 08.81030, 
53.08316, 08.81032, 
53.08316, 08.81035, 
53.08316, 08.81036, 
53.08316, 08.81037, 
53.08317, 08.81036, 
53.08316, 08.81036, 
53.08316, 08.81036, 
53.08316, 08.81036, 
53.08316, 08.81036, 
53.08316, 08.81036, 
53.08316, 08.81036, 
53.08316, 08.81036, 
53.08316, 08.81036, 
53.08316, 08.81036, 
53.08316, 08.81036, 
53.08316, 08.81036, 
53.08316, 08.81036, 
53.08316, 08.81037, 
53.08316, 08.81038, 
53.08316, 08.81039, 
53.08317, 08.81040, 
53.08316, 08.81042, 
53.08316, 08.81044, 
53.08316, 08.81046, 
53.08315, 08.81048, 
53.08315, 08.81049, 
53.08315, 08.81050, 
53.08314, 08.81052, 
53.08313, 08.81053, 
53.08313, 08.81055, 
53.08312, 08.81056, 
53.08311, 08.81057, 
53.08311, 08.81058, 
53.08310, 08.81058, 
53.08310, 08.81059, 
53.08309, 08.81061, 
53.08309, 08.81063, 
53.08307, 08.81065, 
53.08306, 08.81066, 
53.08305, 08.81067, 
53.08305, 08.81067, 
53.08305, 08.81068, 
53.08304, 08.81070, 
53.08303, 08.81072, 
53.08302, 08.81074, 
53.08303, 08.81078, 
53.08302, 08.81080, 
53.08300, 08.81081, 
53.08300, 08.81083, 
53.08299, 08.81085, 
53.08298, 08.81085, 
53.08298, 08.81087, 
53.08297, 08.81088, 
53.08297, 08.81090, 
53.08297, 08.81093, 
53.08295, 08.81094, 
53.08294, 08.81095, 
53.08293, 08.81098, 
53.08292, 08.81100, 
53.08291, 08.81103, 
53.08291, 08.81104, 
53.08290, 08.81106, 
53.08288, 08.81106, 
53.08287, 08.81108, 
53.08287, 08.81109, 
53.08286, 08.81111, 
53.08286, 08.81113, 
53.08285, 08.81114, 
53.08284, 08.81115, 
53.08283, 08.81116, 
53.08283, 08.81118, 
